start_station,end_station,count
Ringnes Park,Skippergata,76
OsloMet,Sukkerbiten,76
Lille Schous plass,Carl Berners plass soer,76
Loerenveien,Kirkeristen,76
Loerenveien,Jakob kirke,76
Loerenveien,Trondheimsveien,76
Parkveien,Torggata,76
Frognerbadet,Aker Brygge,76
Sagene bussholdeplass,Vulkan,76
Sagene bussholdeplass,Bjerregaardsgate oest,76
John Colletts plass,Jess Carlsens gate,76
Jakob kirke,Landstads gate,76
Jakob kirke,Arkaden Nord,76
Majorstuen,Adamstuen,76
Norsk Folkemuseum,Saga Kino,76
Alexander Kiellands Plass,Trondheimsveien,76
Schous plass,Vulkan,76
Schous plass,Mandalls gate,76
Gimle Kino,Parkveien,76
Briskeby,Skillebekk,76
Briskeby,Dokkveien,76
Thune,Gimle Kino,76
Chr. Michelsens Gate,Sofienbergparken nord,76
Ila,Hammersborg Torg,76
Fram-gaarden,Gimle Kino,76
Vestkanttorvet,Majorstuveien,76
Vestkanttorvet,Lille Grensen,76
Vestkanttorvet,Bogstadveien,76
Sentrum Scene,Bankplassen,76
BI Nydalen,Vaar Frelsers gravlund,76
Moelleparken,OsloMet,76
Lakkegata,Olaf Ryes plass,76
Vulkan,Landstads gate,76
Vulkan,Ruseloekkgaarden,76
Sjoesiden ved trappen,Uranienborgveien,76
AHO,Saga Kino,76
AHO,Anker Hotel,76
Bislett Stadion,Fagerheimgata,76
Bislett Stadion,Riddervoldplass,76
Bislett Stadion,Munkegata,76
Ruseloekkgaarden,Fram-gaarden,76
Vippetangen vest,Helga Helgesens plass,76
Vippetangen vest,Filipstadveien,76
Sofienbergparken soer,Munkegata,76
Frognerstranda,Helga Helgesens plass,76
Trondheimsveien,Fredensborg,76
Sukkerbiten,OsloMet,76
Bjoervika,Jernbanetorget,76
Bjoervika,Sommerfrydhagen,76
Skillebekk,Henrik Wergelands allé,76
St. Hanshaugen park nord,Ullevaalsveien,76
Edvard Storms gate,Schous plass trikkestopp,76
Edvard Storms gate,Spikersuppa oest,76
Jernbanetorget,Aker Brygge 2 mot Raadhusplassen,76
Jernbanetorget,Grünerhagen Nord,76
Jernbanetorget,Dokkveien,76
Torshovparken vest,Sentrum Scene,76
Sofienbergparken nordvest,Gunerius,76
HasleLinje,Sommerfrydhagen,76
Krebs' gate,Toeyen skole,76
Ullevaal sykehus,Sukkerbiten,76
Botanisk Hage vest,Vaar Frelsers gravlund,76
Botanisk Hage vest,Botanisk Hage soer,76
Henrik Ibsens gate,Salt,76
Ullevaalsveien,Spikersuppa Vest,76
Mandalls gate,Sjoesiden ved trappen,76
Toeyenbekken,Bislett Stadion,76
Toeyenbekken,Fredensborg,76
Holbergs plass,Skillebekk,76
Filipstadveien,Alexander Kiellands Plass,76
Filipstadveien,Jess Carlsens gate,76
Uranienborgveien,Meltzers gate,76
Lilleborgbanen,Ullevaal sykehus,76
Colbjoernsens gate,Schives gate,76
Linaaes gate,Sentrum Scene,76
Linaaes gate,Dokkveien,76
Olaf Ryes plass,Hausmanns bru,76
Trelastgata,Sjoesiden ved fontenen,76
Dokkveien,Birkelunden,76
Dokkveien,Fred Olsens gate,76
Kirkeveien,Colosseum Kino,76
Slottsparken oest,Akersgata,76
Oscars gate,Botanisk Hage soer,76
Oscars gate,Skoeyen,76
Skoeyen,Hydroparken,76
Annette Thommessens Plass,Finnmarksgata,76
Annette Thommessens Plass,Olaf Ryes plass,76
Bogstadveien,Dokkveien,76
Georg Morgenstiernes hus,Parkveien,76
Stavangergata,Loerenveien,76
Henrik Wergelands allé,Briskeby,76
Bjoelsen moelle,Myraloekka oest,76
Fredensborg,Tjuvholmen,76
Sofienbergparken nord,Anker Hotel,76
Dyvekes bru,Botanisk Hage soer,76
Colletts gate,Vulkan,76
Sotahjoernet,Botanisk Hage soer,76
Bankplassen,Kvaernerbyen,76
Bankplassen,Edvard Storms gate,76
Salt,Aker Brygge 3 mot Fergene,76
Salt,Torggata,76
Salt,Dyvekes bru,76
Bislettgata,Carl Berners plass soer,76
Bislettgata,Ullevaal sykehus,76
Hammersborg Torg,Toeyenbekken,76
Enerhaugen,Oslo Hospital,76
Aker Brygge,Mandalls gate,75
Hedmarksgata,Vaterlandsparken,75
oekern Portal,Sotahjoernet,75
Gunerius,Elgsletta,75
Stjerneplassen,Birkelunden,75
Stjerneplassen,Fagerheimgata,75
Akerselvallmenningen,Bislett Stadion,75
Akerselvallmenningen,Henrik Ibsens gate,75
Nybrua holdeplass,Helga Helgesens plass,75
Universitetsgata,Raadhusgata,75
Tiedemannsparken,Helga Helgesens plass,75
Colosseum Kino,Stensparken,75
Colosseum Kino,Drammensveien,75
Bentsebrugata,Paléhaven,75
Bentsebrugata,Bak Niels Treschows hus nord,75
Stensgata,Holbergs plass,75
Arkitekt Rivertz Plass,Landstads gate,75
Arkitekt Rivertz Plass,Georg Morgenstiernes hus,75
Vaar Frelsers gravlund,Aker Brygge 2 mot Raadhusplassen,75
Saga Kino,Norsk Folkemuseum,75
Saga Kino,Sentrum Scene,75
Saga Kino,Elisenberg,75
Hans Nielsen Hauges plass,Toeyen skole,75
Bjoelsen Studentby,Parkveien,75
Bjoelsen Studentby,Krebs' gate,75
Kirkeristen,Brugata,75
Storo Storsenter,Uelands gate,75
Storo Storsenter,Mailundveien,75
Ringnes Park,Henrik Ibsens gate,75
Lille Schous plass,Bankplassen,75
Carl Berners plass soer,Groenlands torg,75
Sagene bussholdeplass,Toeyen skole,75
Landstads gate,Alexander Kiellands Plass,75
Landstads gate,Nordre gate,75
Majorstuen,Soendre gate,75
Majorstuen,Edvard Storms gate,75
Sinsenveien,Torggata,75
Tannlegehoeyskolen,Bjerregaards gate,75
Norsk Folkemuseum,Olav Kyrres plass,75
Norsk Folkemuseum,Thune,75
Birkelunden,Landstads gate,75
Birkelunden,Spikersuppa Vest,75
Birkelunden,Annette Thommessens Plass,75
Adamstuen,Adamstuen,75
Gimle Kino,Studenterlunden,75
Briskeby,Professor Aschehougs plass,75
Thune,Elisenberg,75
Ila,Sjoesiden ved trappen,75
Lindern,Hallénparken,75
Sentrum Scene,Sjoesiden ved trappen,75
Sentrum Scene,Paléhaven,75
Moelleparken,Toeyenparken,75
Lakkegata,Jess Carlsens gate,75
Lakkegata,Spikersuppa oest,75
Vulkan,Aker Brygge 2 mot Raadhusplassen,75
Sjoesiden ved trappen,Bjerregaards gate,75
Sjoesiden ved trappen,Nordre gate,75
Bislett Stadion,Myraloekka oest,75
Kvaernerbyen,Oslo Plaza,75
Vippetangen vest,Toeyenbekken,75
Frogner Stadion,Bjerregaards gate,75
Frogner Stadion,Spikersuppa oest,75
Sofienbergparken soer,Groenlands torg,75
Valkyrieplassen,Parkveien,75
Vaalerenga,Sukkerbiten,75
Stensparken,Uranienborgparken,75
Schous plass trikkestopp,Lille Grensen,75
Schous plass trikkestopp,Linaaes gate,75
Sukkerbiten,Bislett Stadion,75
Bjoervika,Lille Grensen,75
Studentparlamentet,Bjerregaardsgate oest,75
Arendalsgata,The Hub,75
Majorstuveien,Majorstuen T-bane,75
Jernbanetorget,Nybrua holdeplass,75
Tjuvholmen,Hammersborg Torg,75
Helga Helgesens plass,Skippergata,75
Raadhusgata,Torggata,75
Karenslyst allé,Hydroparken,75
Carl Berners plass nord,Paléhaven,75
Torshovparken vest,Koebenhavngata busstopp,75
Brugata,Sofienbergparken nord,75
Sofienbergparken nordvest,Galgeberg,75
Sofienbergparken nordvest,Nordre gate,75
Vaterlandsparken,Anker Hotel,75
Bjerregaards gate,Nordre gate,75
Anker Hotel,Kontraskjaeret,75
Jens Bjelkes Gate,Galgeberg,75
Jens Bjelkes Gate,Dyvekes bru,75
Majorstuen T-bane,Skoeyen,75
Kjeld Stubs gate,Frogner plass,75
Henrik Ibsens gate,Sjoesiden ved fontenen,75
Sofienberggata,Hausmanns gate,75
Ullevaalsveien,Huitfeldts gate,75
Friggfeltet,Friggfeltet,75
Uranienborgveien,Akerselvallmenningen,75
Diakonhjemmet,Parkveien,75
Diakonhjemmet,Majorstuen T-bane,75
Lilleborgbanen,BI Nydalen,75
Langkaia,Frognerstranda,75
Fyrstikktorget,Ringnes Park,75
Colbjoernsens gate,Majorstuen,75
Colbjoernsens gate,Bjoervika,75
Colbjoernsens gate,Skillebekk,75
Linaaes gate,Bjoervika,75
Linaaes gate,Bislettgata,75
Trelastgata,Lodalen busstopp,75
Griffenfeldts gate,Bislett Stadion,75
Pilestredet,Kirkeristen,75
Dokkveien,Parkveien,75
Slottsparken oest,Uranienborgveien,75
Huitfeldts gate,Universitetsgata,75
Skoeyen,Forskningsveien,75
Bogstadveien,Uranienborgparken,75
Bogstadveien,Ullevaalsveien,75
Jordalgata,Sjoesiden ved fontenen,75
Stavangergata,The Hub,75
Henrik Wergelands allé,Frogner Stadion,75
Badebakken,Bjoelsen Studentby,75
Kampen park oest,Birkelunden,75
Idioten,Majorstuen,75
Fredensborg,Sofienbergparken soer,75
Frogner plass,Torggata,75
Frogner plass,Lille Grensen,75
Stockfleths gate,Ringnes Park,75
Sotahjoernet,Sjoesiden ved fontenen,75
Sotahjoernet,Bankplassen,75
Bankplassen,Bjoervika,75
Munkedamsveien,Marcus Thranes gate,75
Bjerregaardsgate oest,Vaar Frelsers gravlund,75
Bislettgata,Landstads gate,75
Bislettgata,Fredensborg,75
Torshovdalen oest,Birkelunden,75
Spikersuppa oest,Frogner Tennisklubb,75
Spikersuppa oest,Oscars gate,75
Oslo Hospital,Hammersborg Torg,75
Hydroparken,Bislett Stadion,75
Borgenveien,Majorstuen,74
Professor Aschehougs plass,Schous plass,74
oekern Portal,Munkegata,74
Gunerius,Sofienbergparken soer,74
Gunerius,Enerhaugen,74
Rostockgata,Professor Aschehougs plass,74
The Hub,Bankplassen,74
Akerselvallmenningen,Anker Hotel,74
Akerselvallmenningen,Oscars gate,74
Akerselvallmenningen,Dyvekes bru,74
Elgsletta,Toeyen skole,74
Elgsletta,Oslo Plaza,74
Aker Brygge 3 mot Fergene,Alexander Kiellands Plass,74
Aker Brygge 3 mot Fergene,Lille Grensen,74
Toeyenparken,Birkelunden,74
Bentsebrugata,Fred Olsens gate,74
Stensgata,Henrik Ibsens gate,74
Arkitekt Rivertz Plass,Sjoesiden ved fontenen,74
Studenterlunden,Paléhaven,74
Pilestredet Studenthus,Jernbanetorget,74
Saga Kino,Karenslyst allé,74
Saga Kino,Huitfeldts gate,74
Saga Kino,Oscars gate,74
Saga Kino,Fredensborg,74
Saga Kino,Paléhaven,74
Sjoesiden ved fontenen,Jakob kirke,74
Sjoesiden ved fontenen,Uranienborgparken,74
Bjoelsen Studentby,Fredensborg,74
Bjoelsen Studentby,Bislettgata,74
Kirkeristen,Oslo Handelsgymnasium,74
Storo Storsenter,Torshovparken vest,74
Uelands gate,Oslo Plaza,74
OsloMet,Linaaes gate,74
Parkveien,Skovveien,74
Parkveien,Moelleparken,74
Oslo Handelsgymnasium,Oscars gate,74
Sagene bussholdeplass,AHO,74
Sagene bussholdeplass,Bjerregaards gate,74
Toeyen skole,Jernbanetorget,74
Toeyen skole,Raadhusgata,74
Toeyen skole,Spikersuppa oest,74
John Colletts plass,Hallings gate,74
Jakob kirke,Majorstuen,74
Majorstuen,Frogner Stadion,74
Kontraskjaeret,Dyvekes bru,74
Alexander Kiellands Plass,Kjeld Stubs gate,74
Alexander Kiellands Plass,Mandalls gate,74
Birkelunden,Hoffsveien,74
Gimle Kino,Bislett Stadion,74
Spikersuppa Vest,AHO,74
Sentrum Scene,Vippetangen vest,74
Sentrum Scene,Mandalls gate,74
Sentrum Scene,Toeyenbekken,74
Sentrum Scene,Spikersuppa oest,74
BI Nydalen,Jakob kirke,74
BI Nydalen,Kvaernerbyen,74
BI Nydalen,Jens Bjelkes Gate,74
BI Nydalen,Taasen Senter,74
Moelleparken,Sofienberggata,74
Vulkan,Gunerius,74
Sjoesiden ved trappen,Skovveien,74
Sjoesiden ved trappen,Carl Berners plass soer,74
Bislett Stadion,Marienlystparken,74
Bislett Stadion,Toeyenbekken,74
Bislett Stadion,Munkedamsveien,74
Vippetangen vest,Vulkan,74
Stensparken,Ruseloekkgaarden,74
Bjoervika,Kontraskjaeret,74
Skillebekk,Bogstadveien,74
Arendalsgata,Storo Storsenter,74
Arendalsgata,Marcus Thranes gate,74
Jernbanetorget,Akersgata,74
Tjuvholmen,Aker Brygge 3 mot Fergene,74
Raadhusgata,Helga Helgesens plass,74
Sommerfrydhagen,Lakkegata,74
Sommerfrydhagen,Paléhaven,74
Torggata,Universitetsgata,74
Torggata,Jenny Braatens Plass,74
Torggata,Nordre gate,74
Sofienbergparken nordvest,Mandalls gate,74
Vaterlandsparken,Fagerheimgata,74
Anker Hotel,Munkegata,74
Krebs' gate,Bislett Stadion,74
Fagerheimgata,Groenlands torg,74
Fagerheimgata,Sofienbergparken soer,74
Fagerheimgata,Sofienberggata,74
Marienlystparken,Marcus Thranes gate,74
Jens Bjelkes Gate,Lille Schous plass,74
Jens Bjelkes Gate,Sofienbergparken nord,74
Henrik Ibsens gate,Olaf Ryes plass,74
Sofienberggata,Alexander Kiellands Plass,74
Thomas Heftyes plass,Studenterlunden,74
Jess Carlsens gate,Bogstadveien,74
Lille Grensen,Filipstadveien,74
Holbergs plass,Alexander Kiellands Plass,74
Holbergs plass,Vippetangen vest,74
Monolittveien,Hoffsveien,74
Brynseng T-bane,Helga Helgesens plass,74
Filipstadveien,Rostockgata,74
Griffenfeldts gate,Griffenfeldts gate,74
Slottsparken oest,Vestkanttorvet,74
Slottsparken oest,Jens Bjelkes Gate,74
Huitfeldts gate,Briskeby,74
Huitfeldts gate,Frogner Stadion,74
Huitfeldts gate,Olaf Ryes plass,74
Oscars gate,Frognerstranda,74
Forskningsveien,Frogner plass,74
Frognerveien,Sukkerbiten,74
Frognerveien,St. Olavs gate,74
Annette Thommessens Plass,Dokkveien,74
Dronningens gate,Aker Brygge,74
Georg Morgenstiernes hus,Pilestredet 63,74
Stavangergata,St. Olavs gate,74
Stavangergata,Bogstadveien,74
Stavangergata,Nordre gate,74
Stavangergata,Spikersuppa oest,74
Henrik Wergelands allé,Ringnes Park,74
Riddervoldplass,Professor Aschehougs plass,74
Meltzers gate,Saga Kino,74
Fredensborg,Universitetsgata,74
Fredensborg,Vulkan,74
Fredensborg,Vaterlandsparken,74
Dyvekes bru,Koebenhavngata busstopp,74
Dyvekes bru,Fred Olsens gate,74
Marcus Thranes gate,Fred Olsens gate,74
Colletts gate,Parkveien,74
Colletts gate,Lilleborgbanen,74
Fred Olsens gate,Aker Brygge 2 mot Raadhusplassen,74
Sotahjoernet,Schous plass,74
Schives gate,Bjoervika,74
Salt,Olaf Ryes plass,74
Salt,Oslo Hospital,74
Bak Niels Treschows hus nord,Birkelunden,74
Bak Niels Treschows hus nord,Myraloekka oest,74
Bislettgata,Drammensveien,74
Torshovdalen oest,Hans Nielsen Hauges plass,74
Spikersuppa oest,Riddervoldplass,74
Munkegata,Spikersuppa Vest,74
Munkegata,Vulkan,74
Hallénparken,The Hub,74
Kirkegata 15,Oslo Handelsgymnasium,74
Kirkegata 15,Tjuvholmen,74
Professor Aschehougs plass,Bjerregaards gate,73
Aker Brygge,Gunerius,73
Loerenporten,Kvaernerbyen,73
Hedmarksgata,Rostockgata,73
oekern Portal,Hasle Torg,73
Domus Athletica,Stensgata,73
Domus Athletica,Birkelunden,73
Domus Athletica,Marcus Thranes gate,73
Rostockgata,Akerselvallmenningen,73
The Hub,Moelleparken,73
The Hub,Oslo Hospital,73
Stjerneplassen,Enerhaugen,73
Akerselvallmenningen,Skippergata,73
Akerselvallmenningen,Sofienbergparken nord,73
Universitetsgata,Vulkan,73
Elgsletta,Sentrum Scene,73
Huk 2,Huitfeldts gate,73
Aker Brygge 3 mot Fergene,Jess Carlsens gate,73
Aker Brygge 3 mot Fergene,Kirkegata 15,73
Bentsebrugata,Parkveien,73
Bentsebrugata,Jens Bjelkes Gate,73
Bentsebrugata,Badebakken,73
Stensgata,Lille Grensen,73
Arkitekt Rivertz Plass,Helga Helgesens plass,73
Vaar Frelsers gravlund,Anker Hotel,73
Studenterlunden,Schous plass,73
Studenterlunden,Holbergs plass,73
Saga Kino,Rostockgata,73
Hans Nielsen Hauges plass,The Hub,73
Hans Nielsen Hauges plass,Schous plass,73
Bjoelsen Studentby,Moelleparken,73
Bjoelsen Studentby,Henrik Ibsens gate,73
Bjoelsen Studentby,Kirkegata 15,73
Storo Storsenter,Vulkan,73
Storo Storsenter,Sognsveien,73
Ringnes Park,Botanisk Hage vest,73
Lille Schous plass,Munkegata,73
Parkveien,Frognerveien,73
Oslo Handelsgymnasium,Kirkegata 15,73
Sagene bussholdeplass,Bjoelsen Studentby,73
Sagene bussholdeplass,Krebs' gate,73
Landstads gate,Ullevaal sykehus,73
Landstads gate,Arkaden Nord,73
Jakob kirke,Studenterlunden,73
Jakob kirke,Galgeberg,73
Majorstuen,Olav Kyrres plass,73
Sinsenveien,Alexander Kiellands Plass,73
Uranienborgparken,Professor Aschehougs plass,73
Alexander Kiellands Plass,Pilestredet,73
Schous plass,Akerselvallmenningen,73
Gimle Kino,Forskningsveien,73
Chr. Michelsens Gate,Koebenhavngata busstopp,73
BI Nydalen,Idioten,73
Moelleparken,Filipstadveien,73
Lakkegata,Filipstadveien,73
Bislett Stadion,Botanisk Hage soer,73
Bislett Stadion,Ullevaal sykehus,73
Bislett Stadion,Slottsparken oest,73
Ruseloekkgaarden,Skillebekk,73
Elisenberg,Via Vika,73
Vippetangen vest,Alexander Kiellands Plass,73
Vippetangen vest,Jens Bjelkes Gate,73
Frogner Stadion,Olav Kyrres plass,73
Frogner Stadion,Fram-gaarden,73
Frogner Stadion,Bislett Stadion,73
Frognerstranda,St. Olavs gate,73
Frognerstranda,Fred Olsens gate,73
Trondheimsveien,St. Olavs gate,73
Valkyrieplassen,Henrik Wergelands allé,73
Botanisk Hage soer,Elgsletta,73
Schous plass trikkestopp,Arkaden Soer,73
Skillebekk,Thomas Heftyes plass,73
Studentparlamentet,Tjuvholmen,73
St. Hanshaugen park nord,Stensparken,73
Arendalsgata,Stensgata,73
Arendalsgata,Sagene bussholdeplass,73
Hausmanns bru,AHO,73
Edvard Storms gate,Jakob kirke,73
Edvard Storms gate,Nordre gate,73
Jernbanetorget,Krohgstoetten hospital,73
Tjuvholmen,Jess Carlsens gate,73
Raadhusgata,Norsk Folkemuseum,73
Hausmanns gate,Jess Carlsens gate,73
Sommerfrydhagen,Kirkegata 15,73
Blindern Studenthus,Stensgata,73
Torggata,Bjoelsen Studentby,73
Torggata,Gimle Kino,73
Torggata,Skraaninga,73
Brugata,Schous plass trikkestopp,73
Sofienbergparken nordvest,Jordalgata,73
Anker Hotel,Aker Brygge 2 mot Raadhusplassen,73
Anker Hotel,Groenlands torg,73
Ullevaal sykehus,Fagerheimgata,73
Jens Bjelkes Gate,Sofienberggata,73
Majorstuen T-bane,Briskeby,73
Kjeld Stubs gate,Kirkeristen,73
Kjeld Stubs gate,Tjuvholmen,73
Henrik Ibsens gate,Fram-gaarden,73
Henrik Ibsens gate,Karenslyst allé,73
Henrik Ibsens gate,Kirkegata 15,73
Ensjoe T-bane,Moelleparken,73
Finnmarksgata,Ringnes Park,73
Ullevaalsveien,The Hub,73
Jess Carlsens gate,Vaar Frelsers gravlund,73
Mandalls gate,Spikersuppa oest,73
Toeyenbekken,The Hub,73
Myraloekka oest,Schous plass,73
Myraloekka oest,Vulkan,73
Lille Grensen,Ruseloekkgaarden,73
Holbergs plass,Bankplassen,73
Holbergs plass,Hammersborg Torg,73
Brynseng T-bane,Fyrstikktorget,73
Uranienborgveien,Raadhusgata,73
Lilleborgbanen,Sjoesiden ved trappen,73
Grünerhagen Nord,Toeyenbekken,73
Skippergata,Vippetangen oest,73
Olaf Ryes plass,Forskningsveien,73
Olaf Ryes plass,Galgeberg,73
Slottsparken oest,Arkaden Nord,73
Huitfeldts gate,Kontraskjaeret,73
Oscars gate,Stensparken,73
Forskningsveien,Sofienbergparken nordvest,73
Froeen T-bane,Froeen T-bane,73
Over Raadhusgata,Karenslyst allé,73
Tordenskiolds gate,Sjoesiden ved trappen,73
Arkaden Nord,Bjoervika,73
Hallings gate,Bjoervika,73
Georg Morgenstiernes hus,Majorstua skole,73
Jordalgata,Birkelunden,73
Jordalgata,Sofienbergparken nord,73
Stavangergata,Ila,73
Stavangergata,Henrik Wergelands allé,73
Galgeberg,Botanisk hage soer-vest,73
Galgeberg,Enerhaugen,73
Henrik Wergelands allé,Sjoelyst,73
Henrik Wergelands allé,Marienlystparken,73
Nordre gate,Brugata,73
Koebenhavngata busstopp,Sukkerbiten,73
Majorstua skole,Ruseloekkgaarden,73
Bjoelsen moelle,Lilleborgbanen,73
Fredensborg,Carl Berners plass soer,73
Fredensborg,Karenslyst allé,73
Sofienbergparken nord,Arkaden Nord,73
Marcus Thranes gate,Jordalgata,73
Bankplassen,The Hub,73
Bankplassen,Aker Brygge 3 mot Fergene,73
Bankplassen,Spikersuppa Vest,73
Sinsen T-bane,Jenny Braatens Plass,73
Munkedamsveien,Bankplassen,73
Bjerregaardsgate oest,Spikersuppa Vest,73
Bjerregaardsgate oest,Arkaden Nord,73
Bjerregaardsgate oest,Bislettgata,73
Bislettgata,Via Vika,73
Bislettgata,Universitetsgata,73
Bislettgata,Schous plass,73
Bislettgata,Botanisk Hage soer,73
Bislettgata,Dokkveien,73
Pilestredet 63,Parkveien,73
Daelenenggata,Jakob kirke,73
Oslo Hospital,Jess Carlsens gate,73
Oslo Hospital,Arkaden Nord,73
Lodalen busstopp,Lodalen busstopp,73
Hammersborg Torg,Groenlands torg,73
Hasle,Toeyenparken,73
Hydroparken,Uranienborgveien,73
Kirkegata 15,Aker Brygge 3 mot Fergene,73
Kirkegata 15,Filipstadveien,73
Aker Brygge,Oscars gate,72
Hesselbergs Gate,Sommerfrydhagen,72
Ulven Torg,Munkegata,72
Rostockgata,Alexander Kiellands Plass,72
Via Vika,Sjoesiden ved trappen,72
Krohgstoetten hospital,Jordalgata,72
Akerselvallmenningen,Ruseloekkgaarden,72
Nybrua holdeplass,Sjoesiden ved fontenen,72
Universitetsgata,Kontraskjaeret,72
Universitetsgata,Munkegata,72
Aker Brygge 2 mot Raadhusplassen,Vaar Frelsers gravlund,72
Aker Brygge 2 mot Raadhusplassen,Frognerstranda,72
Colosseum Kino,Marcus Thranes gate,72
Bentsebrugata,Vaterlandsparken,72
Bentsebrugata,Ullevaalsveien,72
Bentsebrugata,Majorstua skole,72
Groenlands torg,Vulkan,72
Groenlands torg,Galgeberg,72
Vaar Frelsers gravlund,Mandalls gate,72
Vaar Frelsers gravlund,Uranienborgveien,72
Soendre gate,Jess Carlsens gate,72
Skovveien,Spikersuppa Vest,72
Saga Kino,Oslo Hospital,72
Bjoelsen Studentby,St. Olavs gate,72
Frogner Tennisklubb,Spikersuppa Vest,72
Frogner Tennisklubb,Drammensveien,72
Kirkeristen,Krohgstoetten hospital,72
Kirkeristen,Universitetsgata,72
Kirkeristen,Moelleparken,72
Kirkeristen,Jordalgata,72
Ringnes Park,BI Nydalen,72
Uelands gate,Schous plass,72
OsloMet,Ringnes Park,72
Lille Schous plass,Groenlands torg,72
Lille Schous plass,Bjoervika,72
Oslo Handelsgymnasium,Elisenberg,72
Frognerbadet,Frognerveien,72
Carl Berners plass soer,Jenny Braatens Plass,72
Sagene bussholdeplass,Stensgata,72
Hasle Torg,Toeyenbekken,72
Hasle Torg,Munkegata,72
Uranienborgparken,Kirkeristen,72
Schous plass,Lakkegata,72
Birkelunden,Botanisk hage soer-vest,72
Spikersuppa Vest,Soendre gate,72
Spikersuppa Vest,Bjoervika,72
Spikersuppa Vest,Spikersuppa oest,72
Lindern,Bislett Stadion,72
Fram-gaarden,Vaar Frelsers gravlund,72
Fram-gaarden,Bislett Stadion,72
Sentrum Scene,Lille Schous plass,72
Vippetangen oest,Kirkeristen,72
Vulkan,Hausmanns gate,72
Vulkan,Georg Morgenstiernes hus,72
Bislett Stadion,Pilestredet 63,72
Ruseloekkgaarden,Sjoesiden ved fontenen,72
Ruseloekkgaarden,Sukkerbiten,72
Elisenberg,Fram-gaarden,72
Suhms gate,Alexander Kiellands Plass,72
Frogner Stadion,Riddervoldplass,72
Sofienbergparken soer,Paléhaven,72
Frognerstranda,Bislett Stadion,72
Valkyrieplassen,Frogner plass,72
Botanisk Hage soer,Bjerregaardsgate oest,72
Stensparken,Skovveien,72
Stensparken,Holbergs plass,72
Sukkerbiten,Botanisk Hage vest,72
Studentparlamentet,Studenterlunden,72
Edvard Storms gate,Hammersborg Torg,72
Tjuvholmen,Helga Helgesens plass,72
Tjuvholmen,Arkaden Soer,72
Tjuvholmen,Hallings gate,72
Raadhusgata,Sofienbergparken nordvest,72
Nydalen,Ringnes Park,72
Sofienbergparken nordvest,Jess Carlsens gate,72
Bjerregaards gate,Hesselbergs Gate,72
Ullevaal sykehus,Frogner plass,72
Henrik Ibsens gate,Norsk Folkemuseum,72
Sofienberggata,Jess Carlsens gate,72
Finnmarksgata,Olaf Ryes plass,72
Ullevaalsveien,Stensparken,72
Ullevaalsveien,Myraloekka oest,72
Ullevaalsveien,Paléhaven,72
Thomas Heftyes plass,Via Vika,72
Thomas Heftyes plass,Bjoervika,72
Thomas Heftyes plass,Huk 1,72
Thomas Heftyes plass,Paléhaven,72
Mandalls gate,Arkaden Nord,72
Toeyenbekken,Toeyen skole,72
Friggfeltet,Edvard Storms gate,72
Holbergs plass,Sjoesiden ved fontenen,72
Holbergs plass,Henrik Ibsens gate,72
Holbergs plass,Paléhaven,72
Monolittveien,Skoeyen,72
St. Olavs gate,Vaar Frelsers gravlund,72
St. Olavs gate,Gimle Kino,72
Colbjoernsens gate,Henrik Ibsens gate,72
Linaaes gate,Sjoesiden ved trappen,72
Olaf Ryes plass,Kjeld Stubs gate,72
Trelastgata,Lakkegata,72
Slottsparken oest,Vulkan,72
Slottsparken oest,Henrik Wergelands allé,72
Oscars gate,Sofienbergparken nordvest,72
Oscars gate,Meltzers gate,72
Frognerveien,Sjoesiden ved trappen,72
Frognerveien,Huitfeldts gate,72
Over Raadhusgata,Hammersborg Torg,72
Bogstadveien,St. Olavs gate,72
Georg Morgenstiernes hus,Gimle Kino,72
Stavangergata,Skoeyen,72
Galgeberg,Vippetangen vest,72
Riddervoldplass,7. juni-plassen,72
Meltzers gate,Thune,72
Fredensborg,Elgsletta,72
Fredensborg,Over Raadhusgata,72
Fredensborg,7. juni-plassen,72
Sofienbergparken nord,Gunerius,72
Sofienbergparken nord,Akerselvallmenningen,72
Dyvekes bru,Over Raadhusgata,72
Marcus Thranes gate,Saga Kino,72
Marcus Thranes gate,Adamstuen,72
Bjerregaardsgate oest,Botanisk Hage soer,72
Bak Niels Treschows hus nord,Stensgata,72
7. juni-plassen,Stensparken,72
Spikersuppa oest,Jakob kirke,72
Spikersuppa oest,Oslo Hospital,72
Oslo Hospital,Schous plass,72
Munkegata,Holbergs plass,72
Hammersborg Torg,Tjuvholmen,72
Hallénparken,Jakob kirke,72
Hallénparken,Botanisk Hage soer,72
Bygdoey allé,Tjuvholmen,72
Aker Brygge,Toeyen skole,71
Hesselbergs Gate,Aker Brygge,71
Rostockgata,Saga Kino,71
Rostockgata,Hydroparken,71
Krohgstoetten hospital,Jens Bjelkes Gate,71
Akerselvallmenningen,Frogner Stadion,71
Nybrua holdeplass,Torggata,71
Elgsletta,Sjoesiden ved fontenen,71
Elgsletta,Toeyenbekken,71
Tiedemannsparken,Toeyenparken,71
Aker Brygge 2 mot Raadhusplassen,Vulkan,71
Aker Brygge 2 mot Raadhusplassen,Spikersuppa oest,71
Toeyenparken,Finnmarksgata,71
Colosseum Kino,Henrik Ibsens gate,71
Bentsebrugata,Stensgata,71
